,sexe, race,age, education,pays d'origine,etat civil,relation,Secteur d'activite, occupation,gain en capital,perte en capital,revenue annuel,heure par semaine, education-num,revenue annuel  numeric,sexe numeric,race numeric,pays d'origine numeric,etat civil numeric,relation numeric,secteur d'activite numeric,occupation numeric,education numeric
0, Female, White,73, 10th, Canada, Widowed, Unmarried, Self-emp-inc, Sales,0,0, <=50K,40,6,1,0,4,1,6,4,4,12,0
1, Female, White,53, 10th, Columbia, Married-spouse-absent, Not-in-family, Private, Machine-op-inspct,0,0, <=50K,40,6,1,0,4,3,3,1,3,7,0
2, Female, White,25, 10th, Columbia, Never-married, Not-in-family, Private, Machine-op-inspct,0,0, <=50K,40,6,1,0,4,3,4,1,3,7,0
3, Female, Black,45, 10th, Dominican-Republic, Divorced, Not-in-family, Private, Other-service,0,0, <=50K,38,6,1,0,2,5,0,1,3,8,0
4, Female, Other,44, 10th, Dominican-Republic, Never-married, Unmarried, Private, Sales,0,0, <=50K,35,6,1,0,3,5,4,4,3,12,0
5, Female, White,46, 10th, Ecuador, Never-married, Not-in-family, Private, Other-service,0,0, <=50K,25,6,1,0,4,6,4,1,3,8,0
6, Female, White,57, 10th, Germany, Divorced, Other-relative, Private, Adm-clerical,0,0, <=50K,70,6,1,0,4,10,0,2,3,1,0
7, Female, Other,28, 10th, Guatemala, Married-civ-spouse, Wife, Private, Craft-repair,0,0, <=50K,48,6,1,0,3,12,2,5,3,3,0
8, Female, White,29, 10th, Guatemala, Separated, Unmarried, Private, Farming-fishing,0,0, <=50K,40,6,1,0,4,12,5,4,3,5,0
9, Female, White,54, 10th, Italy, Separated, Unmarried, Private, Sales,0,0, <=50K,43,6,1,0,4,21,5,4,3,12,0
10, Female, Black,34, 10th, Jamaica, Never-married, Unmarried, Private, Other-service,0,0, <=50K,40,6,1,0,2,22,4,4,3,8,0
11, Female, Black,50, 10th, Jamaica, Separated, Not-in-family, Private, Adm-clerical,0,0, <=50K,47,6,1,0,2,22,5,1,3,1,0
12, Female, Asian-Pac-Islander,56, 10th, Japan, Married-civ-spouse, Wife, Private, Sales,0,0, >50K,30,6,0,0,1,23,2,5,3,12,0
13, Female, White,27, 10th, Mexico, Married-civ-spouse, Wife, Private, Exec-managerial,0,0, <=50K,40,6,1,0,4,25,2,5,3,4,0
14, Female, White,29, 10th, Mexico, Married-spouse-absent, Unmarried, Private, Adm-clerical,0,0, <=50K,40,6,1,0,4,25,3,4,3,1,0
15, Female, White,39, 10th, Mexico, Never-married, Unmarried, Private, Other-service,0,0, <=50K,25,6,1,0,4,25,4,4,3,8,0
16, Female, White,49, 10th, Peru, Never-married, Unmarried, Private, Other-service,0,0, <=50K,38,6,1,0,4,28,4,4,3,8,0
17, Female, White,69, 10th, Peru, Separated, Not-in-family, Private, Machine-op-inspct,0,0, <=50K,28,6,1,0,4,28,5,1,3,7,0
18, Female, Asian-Pac-Islander,59, 10th, Philippines, Widowed, Other-relative, Private, Other-service,0,0, <=50K,40,6,1,0,1,29,6,2,3,8,0
19, Female, Asian-Pac-Islander,38, 10th, Portugal, Divorced, Not-in-family, Private, Machine-op-inspct,0,0, <=50K,40,6,1,0,1,31,0,1,3,7,0
20, Female, Amer-Indian-Eskimo,47, 10th, United-States, Divorced, Not-in-family, Private, Exec-managerial,0,0, <=50K,45,6,1,0,0,38,0,1,3,4,0
21, Female, Black,59, 10th, United-States, Divorced, Not-in-family, Private, Adm-clerical,0,0, <=50K,40,6,1,0,2,38,0,1,3,1,0
22, Female, Black,51, 10th, United-States, Divorced, Not-in-family, Private, Craft-repair,0,0, <=50K,35,6,1,0,2,38,0,1,3,3,0
23, Female, Black,69, 10th, United-States, Divorced, Not-in-family, Private, Machine-op-inspct,0,0, <=50K,65,12,1,0,2,38,0,1,3,7,0
24, Female, Black,121, 10th, United-States, Divorced, Not-in-family, Private, Other-service,0,0, <=50K,64,12,1,0,2,38,0,1,3,8,0
25, Female, Black,54, 10th, United-States, Divorced, Not-in-family, Self-emp-not-inc, Other-service,0,0, <=50K,10,6,1,0,2,38,0,1,5,8,0
26, Female, Black,66, 10th, United-States, Divorced, Not-in-family, State-gov, Other-service,0,0, <=50K,40,6,1,0,2,38,0,1,6,8,0
27, Female, White,124, 10th, United-States, Divorced, Not-in-family, Private, Handlers-cleaners,0,0, <=50K,94,18,1,0,4,38,0,1,3,6,0
28, Female, White,230, 10th, United-States, Divorced, Not-in-family, Private, Machine-op-inspct,0,0, <=50K,195,30,1,0,4,38,0,1,3,7,0
29, Female, White,59, 10th, United-States, Divorced, Not-in-family, Federal-gov, Other-service,0,0, <=50K,37,6,1,0,4,38,0,1,0,8,0
30, Female, White,223, 10th, United-States, Divorced, Not-in-family, Private, Other-service,0,0, <=50K,221,36,1,0,4,38,0,1,3,8,0
31, Female, White,121, 10th, United-States, Divorced, Not-in-family, Private, Sales,0,0, <=50K,118,18,1,0,4,38,0,1,3,12,0
32, Female, White,50, 10th, United-States, Divorced, Not-in-family, Self-emp-not-inc, Sales,0,0, <=50K,50,6,1,0,4,38,0,1,5,12,0
33, Female, White,52, 10th, United-States, Divorced, Other-relative, Private, Other-service,0,0, <=50K,25,6,1,0,4,38,0,2,3,8,0
34, Female, White,31, 10th, United-States, Divorced, Other-relative, Private, Sales,0,0, <=50K,40,6,1,0,4,38,0,2,3,12,0
35, Female, White,28, 10th, United-States, Divorced, Own-child, Private, Machine-op-inspct,0,0, <=50K,40,6,1,0,4,38,0,3,3,7,0
36, Female, White,62, 10th, United-States, Divorced, Own-child, Private, Other-service,0,0, <=50K,40,6,1,0,4,38,0,3,3,8,0
37, Female, Black,56, 10th, United-States, Divorced, Unmarried, Private, Adm-clerical,0,0, <=50K,36,6,1,0,2,38,0,4,3,1,0
38, Female, Black,172, 10th, United-States, Divorced, Unmarried, Private, Other-service,0,0, <=50K,148,24,1,0,2,38,0,4,3,8,0
39, Female, Other,44, 10th, United-States, Divorced, Unmarried, Private, Adm-clerical,0,0, <=50K,42,6,1,0,3,38,0,4,3,1,0
40, Female, White,97, 10th, United-States, Divorced, Unmarried, Private, Adm-clerical,0,0, <=50K,88,12,1,0,4,38,0,4,3,1,0
41, Female, White,37, 10th, United-States, Divorced, Unmarried, Private, Craft-repair,0,0, <=50K,40,6,1,0,4,38,0,4,3,3,0
42, Female, White,73, 10th, United-States, Divorced, Unmarried, Private, Exec-managerial,0,0, <=50K,75,12,1,0,4,38,0,4,3,4,0
43, Female, White,24, 10th, United-States, Divorced, Unmarried, Private, Handlers-cleaners,0,0, <=50K,58,6,1,0,4,38,0,4,3,6,0
44, Female, White,88, 10th, United-States, Divorced, Unmarried, Private, Machine-op-inspct,0,1594, <=50K,72,12,1,0,4,38,0,4,3,7,0
